Nom,Photo,Date,Texte,Contexte,Source
Raphaël Glucksmann,https://public.flourish.studio/uploads/154432/d4e20dbd-a973-4d18-966b-0f032ee0946c.png,4 septembre 2026,"« La laïcité, ce n’est pas la police des vêtements. »","Invité sur BFMTV-RMC, il réagissait à la proposition du RN d’interdire le voile dans l’espace public.","Source : BFMTV-RMC"
Gabriel Attal,https://public.flourish.studio/uploads/154432/6d4d1d02-9700-489f-a566-9badea141bd5.jpg,3 septembre 2026,"« Moi, je n’ai pas envie d’être une forme de saison 3 du macronisme, ni un retour à l’UMP d’il y a vingt ans. »","Attal présentait son équipe de campagne et cherchait à se démarquer à la fois d’Emmanuel Macron et d’Édouard Philippe.","Source : conférence de presse, reprise par l’AIP / TF1 Info"
François Hollande,https://public.flourish.studio/uploads/154432/11f1365d-91a1-4ee0-978b-be3b7883e422.jpg,3 septembre 2026,"« Si je me lance, c’est au bon moment. »","Il répétait cette formule à la foire de Châlons-en-Champagne en renvoyant à décembre sa décision sur une éventuelle candidature.","Source : AFP / TF1 Info"
Bruno Retailleau,https://public.flourish.studio/uploads/154432/51fdba06-1a1a-45ea-9309-13b345e82927.png,3 septembre 2026,"« En France, la seule cour suprême, c’est le peuple. Je lui donnerai le dernier mot. »","Une formule forte au cœur de son projet de révision constitutionnelle.","Source : Le Figaro"
David Lisnard,https://public.flourish.studio/uploads/154432/51cd677f-b10f-46a7-9293-06aa9e81af10.jpg,3 septembre 2026,"« Les mêmes qui voient du patriarcat partout, y compris dans une côte de bœuf sur un barbecue, ne voient pas le patriarcat islamique… »",,Source : Cnews
David Lisnard,https://public.flourish.studio/uploads/154432/51cd677f-b10f-46a7-9293-06aa9e81af10.jpg,3 septembre 2026,"« Jean-Luc Mélenchon a viré dans le néofascisme. »",,Source : Cnews
Dominique de Villepin,https://public.flourish.studio/uploads/154432/6ad29a99-e706-40d2-866a-bce41b9bc8f9.jpg,2 septembre 2026,"« Je ne revêts pas mon petit tutu rose pour m’entraîner à la barre et faire le grand écart. »","Une réponse très « Villepin » à la question d’un éventuel rapprochement politique avec François Ruffin.","Source : Le Monde, débat « Libé 2027 »"
François Ruffin,https://public.flourish.studio/uploads/154432/86ebbcbc-67f5-407b-bf6a-f22951f47c03.jpg,2 septembre 2026,"« Il nous faut une ligue des dérailleurs. »","Lors de son débat avec Dominique de Villepin, Ruffin a opposé cette « ligue des dérailleurs » au « train fou de l’histoire ».","Source : Libération"
Marine Tondelier,https://public.flourish.studio/uploads/154432/649810bb-5980-435b-bbd0-c73a29e32f75.png,2 septembre 2026,"« Je ne veux pas désigner le roi du cimetière. »","Interrogée sur les divisions de la gauche, la candidate écologiste résume ainsi son refus de voir s’installer une guerre des chefs.","Source : LCI"
Ségolène Royal,https://public.flourish.studio/uploads/154432/dc495063-5508-4e8b-bfd5-6d7a4d4927b0.png,2 septembre 2026,"« Elle n'avait jamais été ministre, elle ne connaissait pas l'intérieur, le fonctionnement de l'État. Elle était juste maire de Paris. »","Interrogée sur l’échec d’Anne Hidalgo à l’élection présidentielle de 2022, Ségolène Royal estime que l’ancienne maire de Paris ne disposait pas de l’expérience gouvernementale nécessaire.","Source : BFMTV-RMC"
David Lisnard,https://public.flourish.studio/uploads/154432/51cd677f-b10f-46a7-9293-06aa9e81af10.jpg,2 septembre 2026,"« De ce point de vue-là, on est tranquille. »","À propos des 500 promesses de parrainage.","Source : AFP, repris notamment par Le Parisien"
Gabriel Attal,https://public.flourish.studio/uploads/154432/6d4d1d02-9700-489f-a566-9badea141bd5.jpg,1er septembre 2026,"« L’enjeu de cette élection, ce n’est pas de recréer les partis d’il y a vingt ans avec ceux d’il y a vingt ans et les idées d’il y a vingt ans. »","Une manière assez transparente de viser Édouard Philippe et son projet de rassemblement du centre.","Source : Le Parisien."
